NOL9	1	6614157	6614367
NA	1	8937876	8938075
MRTO4	1	19577563	19577871
OTUD3	1	20208847	20209493
USP48	1	22109202	22109529
RP5-886K2.3	1	24104577	24104799
ARID1A	1	27023133	27023705
RPA2	1	28241037	28241280
LOC100996782;MED18	1	28655605	28655854
SRSF4	1	29507729	29508000
PUM1	1	31537868	31538229
ZNF684	1	40997139	40997554
CTPS1	1	41445285	41445637
USP1	1	62902942	62903242
LRRC40	1	70671008	70671766
NA	1	70686786	70687030
41897	1	87379342	87379592
41897	1	87379785	87379978
LRRC8B	1	89990272	89990677
ZNF644	1	91486886	91487105
SNORD21;RPL5	1	93297875	93298084
MTF2	1	93545138	93545649
DNTTIP2	1	94344916	94345156
RP11-421L21.3	1	101491145	101491467
PRPF38B	1	109234475	109234821
DRAM2	1	111682724	111683467
FAM212B-AS1	1	112282072	112282367
MAN1A2	1	117910038	117910254
OTUD7B	1	149982192	149982480
PSMD4	1	151227462	151227685
MRPL9	1	151735972	151736269
S100A1	1	153599841	153600095
FDPS	1	155278724	155278984
PEX19	1	160254452	160255002
DUSP12	1	161719474	161720241
UHMK1	1	162467872	162468158
SFT2D2	1	168195220	168195539
RFWD2	1	176175479	176176177
DDX59	1	200638822	200639094
IPO9-AS1	1	201798533	201798915
NSL1	1	212964655	212964901
NA	1	222817539	222817788
LIN9	1	226496889	226497183
JMJD4	1	227922658	227923607
ARV1	1	231114715	231115056
EXOC8	1	231473484	231473748
AHCTF1	1	247094861	247095342
SNX17	2	27593440	27593760
ZNF512	2	27805923	27806187
BIRC6	2	32581803	32582118
BIRC6	2	32582268	32582534
ERLEC1	2	54013638	54014338
SMEK2	2	55844980	55845346
PELI1	2	64371197	64371411
NA	2	71221484	71222083
MRPL53	2	74699237	74699655
KRCC1	2	88354643	88354842
KRCC1	2	88355477	88355679
FAHD2A	2	96068247	96068769
STARD7	2	96874609	96874951
NA	2	112641290	112641520
ZC3H6	2	113032620	113033010
DDX18	2	118572526	118572749
GORASP2	2	171785627	171786540
NA	2	178077917	178078207
ZC3H15	2	187350373	187350973
ZC3H15	2	187351154	187351378
C2orf47	2	200819654	200819988
ALS2	2	202645470	202645746
NA	2	208394738	208395075
RPE	2	210866934	210867269
TTLL4	2	219575754	219576009
FBXO36	2	230787218	230787453
ILKAP	2	239111852	239112068
PASK	2	242090120	242090334
JAGN1	3	9932514	9932792
TMEM43	3	14166791	14167163
TOP2B	3	25705657	25706487
CNOT10	3	32726608	32726949
EPM2AIP1	3	37034247	37034524
GOLGA4	3	37284468	37284664
RPL14	3	40498437	40498775
ZNF621	3	40566423	40566950
KIF15	3	44803160	44803378
ZDHHC3	3	45017266	45018186
LARS2	3	45430012	45430318
SETD2	3	47205608	47206325
CDC25A	3	48229229	48229479
NME6	3	48342909	48343235
TRAIP	3	49894047	49894358
NA	3	49977671	49978068
CACNA2D2	3	50540903	50541205
POC1A	3	52187776	52188501
RPP14	3	58292163	58292571
UBA3	3	69128963	69129285
PDZRN3	3	73673860	73674157
TOMM70A	3	100120283	100120559
PCNP	3	101292668	101292879
NA	3	112737875	112738193
FSTL1	3	120169061	120169489
POLQ	3	121264438	121264633
KPNA1	3	122233153	122233399
NA	3	136471619	136471868
DBR1	3	137893661	137893855
ARMC8	3	137906213	137906831
RNF7	3	141457225	141457654
DHX36	3	154041728	154041996
SMC4	3	160116867	160117126
LOC100128164	3	169684804	169685006
LOC101928615;FNDC3B	3	171757642	171757938
ECT2	3	172468519	172468715
NA	3	183602233	183602473
